"","spp","lat","lon","species_original"
"296","Elaenia cristata",3.859112,-67.8814,"Elaenia cristata Pelzeln, 1868"
"297","Elaenia cristata",-13.680868,-41.312042,"Elaenia cristata Pelzeln, 1868"
"298","Elaenia cristata",-19.3539,-43.6075,"Elaenia cristata Pelzeln, 1868"
"299","Elaenia cristata",-11.058532,-65.749275,"Elaenia cristata Pelzeln, 1868"
"300","Elaenia cristata",-7.418945,-39.762745,"Elaenia cristata Pelzeln, 1868"
"301","Elaenia cristata",3.859112,-67.8814,"Elaenia cristata Pelzeln, 1868"
"302","Elaenia cristata",10.43362,-66.73782,"Elaenia cristata Pelzeln, 1868"
"303","Elaenia cristata",-20.046526,-43.868027,"Elaenia cristata Pelzeln, 1868"
"304","Elaenia cristata",3.946731,-59.26527,"Elaenia cristata Pelzeln, 1868"
"305","Elaenia cristata",-19.117037,-43.672947,"Elaenia cristata Pelzeln, 1868"
"306","Elaenia cristata",-16.92316,-42.99157,"Elaenia cristata Pelzeln, 1868"
"307","Elaenia cristata",-19.307,-43.60114,"Elaenia cristata Pelzeln, 1868"
"308","Elaenia cristata",-3.608264,-38.799744,"Elaenia cristata Pelzeln, 1868"
"309","Elaenia cristata",-16.29849,-47.82211,"Elaenia cristata Pelzeln, 1868"
"310","Elaenia cristata",5.437156,-55.207684,"Elaenia cristata Pelzeln, 1868"
