species,lon,lat,n,
626,Miconia albicans,-74.195806,5.181861,1
627,Miconia albicans,-72.794997,4.986417,1
628,Miconia albicans,-71.304936,5.143195,1
629,Miconia albicans,-70.729833,5.19275,1
630,Miconia albicans,-68.449778,5.561389,1
631,Miconia albicans,-67.85,5.33333,1
632,Miconia albicans,-65.26666,4.96666,1
633,Miconia albicans,-61.05,5.31,1
634,Miconia albicans,-59.84611,4.71,1
635,Miconia albicans,-57.666667,5.55,1
636,Miconia albicans,-55.3333333,5.4166667,1
637,Miconia albicans,-54.9833333,5.4166667,1
638,Miconia albicans,-53.3747,5.52,1
639,Miconia albicans,-52.33,4.93,1
640,Miconia albicans,-75.703,6.45675,1
641,Miconia albicans,-74.784772,6.457083,1
642,Miconia albicans,-73.40744,6.23339,1
643,Miconia albicans,-73.141667,6.488611,1
644,Miconia albicans,-71.906369,6.379886,1
645,Miconia albicans,-71.1,6.2780556,1
646,Miconia albicans,-70.164275,6.324981,1
647,Miconia albicans,-68.75,6.16667,1
648,Miconia albicans,-67.505361,6.099583,1
649,Miconia albicans,-67.16,6.4,1
650,Miconia albicans,-63.37528,6.35167,1
651,Miconia albicans,-62.26666,5.91666,1
652,Miconia albicans,-61.35,5.7666667,1
653,Miconia albicans,-75.716667,7.116667,1
654,Miconia albicans,-75.07,6.92,1
655,Miconia albicans,-73.29084,7.20393,1
656,Miconia albicans,-73.080965,6.811241,1
657,Miconia albicans,-70.434426,6.979604,1
658,Miconia albicans,-67.81666,6.96666,1
659,Miconia albicans,-65.9119,7.0758,1
660,Miconia albicans,-63.48333,6.63333,1
661,Miconia albicans,-63.05,7.533,1
